"","SYMBOL"
"1161","STX1A"
"1162","CHUK"
"1163","CEP85L"
"1164","WDR82"
"1165","LURAP1"
"1166","UBXN10"
"1167","MARCHF5"
"1168","TBC1D20"
"1169","SEPTIN11"
"1170","USP2"
"1171","TRIM9"
"1172","EYA4"
"1173","NFRKB"
"1174","RAB3IP"
"1175","EED"
"1176","SOGA3"
"1177","SLC25A35"
"1178","PPM1K"
"1179","PSME3"
"1180","AATK"
"1181","FAM89A"
"1182","TMEM87A"
"1183","PI4K2B"
"1184","PNRC2"
"1185","SMARCD2"
"1186","DMTN"
"1187","PLPBP"
"1188","PLEKHH1"
"1189","PACRG"
"1190","HSPG2"
"1191","DEPTOR"
"1192","CACNA2D4"
"1193","CAMKV"
"1194","TSC1"
"1195","IP6K1"
"1196","CNN1"
"1197","VCL"
"1198","MRPL35"
"1199","SEC14L4"
"1200","MICU1"
"1201","BTN1A1"
"1202","CRACR2B"
"1203","HEPHL1"
"1204","ENTPD5"
"1205","VEZT"
"1206","SRPRB"
"1207","AFAP1"
"1208","AGAP2-AS1"
"1209","SNRNP48"
"1210","HAS2"
"1211","MAP2K3"
"1212","MAP3K9"
"1213","ABCA10"
"1214","ASGR2"
"1215","SYNE1"
"1216","MSMP"
"1217","KMT2C"
"1218","UNC119B"
"1219","FRS2"
"1220","XIRP2"
"1221","MAN2A2"
"1222","PDXK"
"1223","TRIP10"
"1224","EIF5A2"
"1225","CNIH2"
"1226","BHLHE41"
"1227","TEX19"
"1228","BCL2L13"
"1229","SALL3"
"1230","FZD4"
"1231","AKAP12"
"1232","HIPK3"
"1233","AGA"
"1234","DRD5"
"1235","CXCL10"
"1236","STRADA"
"1237","LY6E"
"1238","NAPEPLD"
"1239","PPT1"
"1240","ACP2"
"1241","ZNF267"
"1242","NBR1"
"1243","DYNLT3"
"1244","UBL3"
"1245","C3orf70"
"1246","CRK"
"1247","MCFD2"
"1248","STK38L"
"1249","PAK5"
"1250","GSK3B"
"1251","SENP5"
"1252","ENPP4"
"1253","C5orf63"
"1254","PPRC1"
"1255","KCNJ11"
"1256","PPIG"
"1257","PTEN"
"1258","MYO5B"
"1259","MARCHF9"
"1260","ZNF518B"
"1261","GPC3"
"1262","AMMECR1L"
"1263","AMOT"
"1264","LRRC7"
"1265","GCC2"
"1266","BRWD3"
"1267","LYPD5"
"1268","ZC3H12C"
"1269","SWAP70"
"1270","SLC4A8"
"1271","GALC"
"1272","CEP20"
"1273","DNAJC5G"
"1274","ADA2"
"1275","TBL1XR1"
"1276","FOXK1"
"1277","LRRTM2"
"1278","TBC1D9"
"1279","PPM1H"
"1280","USP6NL"
"1281","POLD3"
"1282","GNAQ"
"1283","SLC38A7"
"1284","PLAGL1"
"1285","LCP1"
"1286","PDE6C"
"1287","SCN1A"
"1288","KIF3B"
"1289","FUBP1"
"1290","PAX7"
"1291","TIMM10B"
"1292","SLC45A2"
"1293","FAT4"
"1294","HLA-DQA1"
"1295","ATG13"
"1296","VPS26C"
"1297","ATP6V1B2"
"1298","SGPL1"
"1299","DIAPH1"
"1300","MBNL3"
"1301","TEKT1"
"1302","AK9"
"1303","NFAT5"
"1304","RDH13"
"1305","FNDC8"
"1306","IL10RA"
"1307","KLC1"
"1308","SPRY3"
"1309","GABPA"
"1310","TRMT112"
"1311","ENDOV"
"1312","THUMPD1"
"1313","OTUD6A"
"1314","MMAB"
"1315","GDPD2"
"1316","ADAMTS1"
"1317","CNNM2"
"1318","EXTL3"
"1319","TMEM41B"
"1320","CIAPIN1"
"1321","SAMD4A"
"1322","AIFM1"
"1323","ZDHHC14"
"1324","PARM1"
"1325","ZC3H11A"
"1326","JPH1"
"1327","SACM1L"
"1328","MYADM"
"1329","CNTNAP1"
"1330","GRAMD2A"
"1331","SPCS3"
"1332","CREBL2"
"1333","C1orf226"
"1334","LCA5"
"1335","IRF2BP1"
